"","X","FIPS","ERS00","OUT10","AccessDesert.Sector.2001","AccessDesert.Sector.2002","AccessDesert.Sector.2003","AccessDesert.Sector.2004","AccessDesert.Sector.2005","AccessDesert.Sector.2006","AccessDesert.Sector.2007","AccessDesert.Sector.2008","AccessDesert.Sector.2009","AccessDesert.Sector.2010","AccessDesert.Sector.2011","AccessDesert.Sector.2012","AccessDesert.Sector.2013","AccessDesert.Sector.2014","AccessDesert.Sector.2015","AccessDesert.Sector.2016","AccessDesert.Sector.2017","AccessDesert.Sector.2018","AccessDesert.Sector.2019","AccessDesert.Sector.2000to2009","AccessDesert.Sector.2000to2009.Any","AccessDesert.Sector.2000to2009.Majority","AccessDesert.Sector.2000to2009.All","AccessDesert.Sector.2010to2019","AccessDesert.Sector.2010to2019.Any","AccessDesert.Sector.2010to2019.Majority","AccessDesert.Sector.2010to2019.All","AccessDesert.Sector.2000to2019","AccessDesert.Sector.2000to2019.Any","AccessDesert.Sector.2000to2019.Majority","AccessDesert.Sector.2000to2019.All","AccessDesert.Carnegie.2001","AccessDesert.Carnegie.2002","AccessDesert.Carnegie.2003","AccessDesert.Carnegie.2004","AccessDesert.Carnegie.2005","AccessDesert.Carnegie.2006","AccessDesert.Carnegie.2007","AccessDesert.Carnegie.2008","AccessDesert.Carnegie.2009","AccessDesert.Carnegie.2010","AccessDesert.Carnegie.2011","AccessDesert.Carnegie.2012","AccessDesert.Carnegie.2013","AccessDesert.Carnegie.2014","AccessDesert.Carnegie.2015","AccessDesert.Carnegie.2016","AccessDesert.Carnegie.2017","AccessDesert.Carnegie.2018","AccessDesert.Carnegie.2019","AccessDesert.Carnegie.2000to2009","AccessDesert.Carnegie.2000to2009.Any","AccessDesert.Carnegie.2000to2009.Majority","AccessDesert.Carnegie.2000to2009.All","AccessDesert.Carnegie.2010to2019","AccessDesert.Carnegie.2010to2019.Any","AccessDesert.Carnegie.2010to2019.Majority","AccessDesert.Carnegie.2010to2019.All","AccessDesert.Carnegie.2000to2019","AccessDesert.Carnegie.2000to2019.Any","AccessDesert.Carnegie.2000to2019.Majority","AccessDesert.Carnegie.2000to2019.All"
"1",1,"10001",180,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,4,1,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",2,"10003",196,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",3,"10005",180,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,4,1,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",4,"1001",60,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",5,"1003",254,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",6,"1005",20,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,1,1,1,10,1,1,1,19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,1,1,1,10,1,1,1,19,1,1,1
"7",7,"1007",21,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",8,"1009",21,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",9,"1011",20,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,9,1,1,1,0,0,0,0,9,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,9,1,1,1,0,0,0,0,9,1,0,0
"10",10,"1013",60,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
